username,job_titles,skills
%D0%BC%CE%B1%CE%B7%D7%A0%CF%85%CE%B7%CE%B1%D1%82h-n-g,"[sr. sre,senior site reliability engineer,implementation and off site engineer,sre,sr. engineer - production operation,team lead - it]","[data center architecture,vendor management,windows server,ubuntu,network administration,amazon web services (aws),nginx,shell scripting,lamp,apache,puppet,jenkins,git,github,servers,dell openmanage,technical support,red hat linux,active directory,microsoft exchange,troubleshooting,devops,dns,dhcp,computer hardware,docker,time management,telecommuting,virtual office,virtual work,productivity improvement,service desk,service-level agreements (sla),jira,accountability,written communication,linux,html,python,communication,team management,microsoft office]"
%E0%B2%A8%E0%B2%B5%E0%B3%80%E0%B2%A8%E0%B3%8D-%E0%B2%A8%E0%B2%BE%E0%B2%AF%E0%B3%8D%E0%B2%95%E0%B3%8D-%E0%B2%8E%E0%B2%B8%E0%B3%8D-6b8265135,"[management trainee human resources,technical recruiter,executive hr,student internship]","[human resources,technical recruiting,strategic planning,human resources information systems (hris),employee engagement,employee relations,skilled multi-tasker,recruiting,human resource development,payroll management,human resource planning,joining formalities,leave management,exit formalities,employee database management,attendance management,grivence management,kannada,english,hindi,telugu,lambani,hr generalist,recruitment,performance management,performance appraisal,grevience ,hr policies,research,teamwork,leadership,management,microsoft word,microsoft excel,public speaking,team leadership,team management,microsoft office,microsoft powerpoint]"
%E0%B2%AE%E0%B2%82%E0%B2%9C%E0%B3%81%E0%B2%A8%E0%B2%BE%E0%B2%A5-%E0%B2%AA%E0%B3%82%E0%B2%9C%E0%B2%BE%E0%B2%B0%E0%B2%BF-manjunatha-poojary%E2%9C%85-639105145,[deputy manager - hr],"[human resources (hr),hr policies,human resources information systems (hris),management information systems (mis),tally erp,management,microsoft excel,team management,microsoft office]"
%E2%97%8F%E0%B9%8B-%C2%A2%D0%BD%D1%94%D1%82%CE%B1%CE%B7-%C2%A2%D0%BD%CF%83%CF%85g%CF%85%E2%84%93%D1%94%E2%97%8F%E0%B9%8B-094b0448,"[sales manager,area manager,universal banker]","[banking,loans,retail banking,sales operations,revenue generation,sales management,business relationship management,credit risk,cross selling,strategic planning,sales,leadership,team leadership,business development]"
%E2%98%80%EF%B8%8Frohit-kumar-sharma-a1672a94,"[software development engineer ,intern,intern,software engineer,senior software engineer,senior software engineer]","[mvc architecture,php,algorithms,software design,html5,jquery,css,laravel,git,matlab,powerpoint,mongodb,aerospike,core java,docker products,solr,redis,memcache,rabbitmq,go (programming language),apache kafka,c++,sql,java,mysql,javascript,microsoft word,data structures,microsoft excel,customer service,microsoft office]"
%E2%98%85romi-bhattacharjee%E2%98%85-47b4204,"[manager - hr & administration ,asstt. manager - hr & admin,sr. executive - hr & admin,freelance recruiter,executive hr-administration,executive assistant human resources,hr & admin coordinator,acquisition editor]","[human resources,vendor management,recruiting,screening,talent acquisition,personnel management,outsourcing,benefits negotiation,employee training,sourcing,coordination,technical recruiting,program management,electronic data management,aquisition,administrative work,creative writing,administration,payroll management,leave management,training,employee engagement,interviewing,management,data analysis,team management,project management]"
 -aditya-roy,"[devops ii,devops ,devops engineer]","[continuous integration and continuous delivery (ci/cd),linux system administration,amazon web services (aws),shell scripting,git,ansible,jenkins,maven,terraform,amazon ecs,prometheus.io,grafana,mariadb,gitlab,sonarqube,nexus,packers,containerization,artifactory,zabbix,python]"
 -ashishsingh,"[research and strategy intern,sales and relationship intern,direct sales representative,research assistant,sales account manager,business development associate,business development associate,business development manager,business development executive]","[negotiation,soft skills,blogging,sales & marketing,cold calling,presentation skills,people management,closing abilities,quick learner,crm,digital marketing,salesforce,search engine optimization (seo),facebook ads,real estate,public relations,paid social media,mailchimp,sales,teamwork,marketing,leadership,communication,microsoft office]"
 -ayush,"[sde ii,systems engineer,principal, engineering]","[node.js,react.js,css,angularjs,mongodb,postgresql,amazon web services (aws),google analytics,redux.js,english,express.js,bootstrapping,automated software testing,wamp,placement test,elasticsearch,elasticsearch,redis,microservices,new relic,clevertap,datadog,c++,html,java,mysql,research,teamwork,javascript,public speaking]"
 -dhruvkhanna,"[assistant key account manager,assistant chef,senior associate lead - talent acquisition,summer intern,business development manager]","[microsoft excel,microsoft office,social media,powerpoint,hospitality industry,microsoft word,teamwork,customer service,team management]"
 -harshil-shah,"[product lead,senior product manager,industry counsellor,growth ,product,product manager]","[product management,analytics,start-ups,teamwork,marketing,management,team management,microsoft office,business strategy,business development]"
